word,gramatica,defini,de,en,eo,es,fr,capital,nota,vide,orijina,tasonomia,pronuncia,simbol,usa,an,da,gl,he,mt,ru
banco,nom mone,un instituida finansial cual investi mone deponeda par clientes,Bank,bank (money),NA,banco,banque,NA,NA,NA,NA,NA,NA,NA,NA,NA,bank,NA,he: בנק,NA,NA
barba,nom anatomia,un crese de capeles sur la mento e jenas de la fas de un om; un mexa simil sur la mento de alga animales,Bart,beard,NA,barba,barbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,skæg,NA,he: זקן (שיער פנים),NA,NA
bebe,nom,un enfante multe joven,Baby,baby,NA,bebé,bébé,NA,NA,NA,NA,NA,NA,NA,NA,NA,baby,NA,he: תינוק; גור,NA,NA
biliardo,nom sporte,un jua con spesies diversa ma tipal per du persones,Billiard,billiards,NA,billar,billard,NA,NA,NA,NA,NA,NA,NA,NA,NA,billiard,NA,he: ביליארד (משחק),NA,NA
canon,nom relijio musica,un colie de libros santa; un colie de testos asetada como autentica; un musica con un melodia xef cual otra strumentos imita a intervales,Kanone,canon (literature,NA,cañón,canon (littérature,NA,NA,NA,NA,NA,NA,NA,NA,NA,kanon,NA,he: (ספרות,NA,NA
capitol,nom arte,un divide major de un libro,Kapitel,chapter,NA,capítulo,chapitre,NA,NA,NA,NA,NA,NA,NA,NA,NA,kapitel,NA,he: פרק,NA,NA
carater,nom siensa-umana,la cualias mental cual distingui un individua de otras; un person en un novela,Charakter,character (including in fiction),NA,carácter,caractère,NA,NA,NA,NA,NA,NA,NA,NA,NA,karakter,NA,he: אופי,NA,NA
carta,nom,un paper rijida e retangulo,Karte,card,NA,tarjeta,carte,NA,NA,NA,NA,NA,NA,NA,NA,NA,kort,NA,he: כרטיס; קלף,NA,NA
categoria,nom,un clase o divide de persones o cosas par sua cualias comun; (en filosofia) cada de un grupo de clases entre cual on pote cisa distribui tota cosas,Kategorie,category,NA,categoría,catégorie,NA,NA,NA,NA,NA,NA,NA,NA,NA,kategori,NA,he: קטגוריה,NA,NA
col,nom planta cosini,un planta cultivada,Kohl,cabbage (plant,NA,col,chou,NA,NA,NA,NA,Brassica oleracea,NA,NA,NA,NA,kål,NA,he: כרוב,NA,NA
conta,nom,un ata de conta; un cuantia contada; un arcivo o rejistra de resetas o spendes per un periodo spesifada; un acorda par cual un instituida teni mone per un cliente,Konto,count (action,NA,cuenta,compte,NA,NA,NA,NA,NA,NA,NA,NA,NA,konto,NA,he: ספירה,NA,NA
corno,nom biolojia,un crese dur trovada en duples,Horn,horn (animal,NA,cuerno,corne; klaxon; cor,NA,NA,NA,NA,NA,NA,NA,NA,NA,horn,NA,he: קרן (של בעל-חיים); שופר,NA,NA
credito,nom mone,la capasia de un person per oteni benes o servis ante paia,Kredit,credit (money),NA,crédito,crédit,NA,NA,NA,NA,NA,NA,NA,NA,NA,kredit,NA,he: אשראי,NA,NA
cristal,nom,NA,Kristall,crystal,NA,cristal,cristal,NA,NA,NA,NA,NA,NA,NA,NA,NA,krystal,NA,he: גביש,NA,NA
cuarzo,nom tera,un mineral dur e blanca o sin color,Quarz,quartz,NA,cuarzo,quartz,NA,NA,NA,NA,NA,NA,NA,NA,NA,kvarts,NA,he: קוורץ,NA,NA
curva,nom,NA,Kurve,curve,NA,curva,courbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,kurve,NA,he: עקומה,NA,NA
data,nom,un dia de mense o anio,Datum,date (calendar),NA,fecha,date (calendrier),NA,NA,NA,NA,NA,NA,NA,NA,NA,dato,NA,תאריך,NA,ru: дата
detalia,nom,un cualia,Detail,detail,NA,detalle,détail,NA,NA,NA,NA,NA,NA,NA,NA,NA,detalje,NA,he: פרט; פירוט,NA,NA
elmo,nom veste,un xapo dur,Helm,helmet,NA,casco,casque,NA,NA,NA,NA,NA,NA,NA,NA,NA,hjelm,NA,he: קסדה,NA,NA
enerjia,nom fisica,la fortia nesesada per ativia fisical o mental; la potia derivada de recursos fisical o cimical,Energie,energy,NA,energía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,energi,NA,NA,NA,NA
este,nom,NA,Ost,east,NA,este,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,øst,NA,NA,NA,NA
eticeta,nom veste informatica,un peso peti de paper,Etikett,label,NA,etiqueta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nærke,NA,NA,NA,NA
febre,nom medica,un temperatur nonormal alta de la corpo,Fieber,fever,NA,fiebre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,feber,NA,NA,NA,NA
figa,nom planta cosini,un fruta mol con forma de pera,Feige,fig (fruit),NA,higo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,figen,NA,NA,NA,NA
foto,nom arte,un imaje creada par usa un camera,Photo,photo,NA,fotografía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fotografi,NA,NA,NA,NA
gitar,nom musica,un strumento musical de cordetas,Gitarre,guitar,NA,guitarra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,guitar,NA,NA,NA,NA
grupo,nom,un cuantia de persones o cosas prosima a lunlotra o clasida con lunlotra,Gruppe,group,NA,grupo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gruppe; parti (samling af produkter),NA,NA,NA,NA
inseto,nom artropodo,un artropodo peti con ses gamas e tipal un o du duples de alas,Insekt,insect,NA,insecto,NA,NA,NA,NA,NA,Insecta,NA,NA,NA,NA,insekt,NA,NA,NA,NA
interesa,nom,un senti de curiosia; mone periodal paiada a un taso spesifada,Interesse,interest (including money),NA,interés,NA,NA,NA,NA,NA,NA,NA,NA,el ave un interesa grande a arte medieval,NA,interesse,NA,NA,NA,NA
